Species,Use,Order,Taxon,Family,Class,Type,Calc,BM,Tbmin,Mrmin,PBMR,Boutmax,Boutmean,Source,lat,ta,prec,IBE
Scotophilus dinganii,Scotophilus dinganii,CHIROPTERA,Plac,NA,MAMMALIA,DT,1,29,18.5,NA,NA,19,15,Jacobs et al. 2007,-8.02,23.481,87.36,
Scotophilus mhlanganii,Scotophilus collinus,CHIROPTERA,Plac,NA,MAMMALIA,DT,1,28,17.2,NA,NA,18.5,17.2,Jacobs et al. 2007,-6,NA,NA,
Setifer setosus,Setifer setosus,AFROSORICIDA,Plac,NA,MAMMALIA,HIB,1,320,13,0.014,4,144,NA,Lachiver 1958; Kayser 1964; Hildwein 1970; Lovegrove et al 2012,-18.96,22.117,125.02,
Sminthopsis crassicaudata,Sminthopsis crassicaudata,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,17,10.8,0.27,22,19.5,15,Geiser & Baudinette 1987; Warnecke et al. 2008,-28.79,19.534,28.14,
Sminthopsis douglasi,Sminthopsis douglasi,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,60,16.9,0.43,40,8.8,3.2,Muller 1996,-20.1,24.914,42.47,
Sminthopsis macroura,Sminthopsis macroura,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,24,11.3,0.3,29,25.9,11,Geiser & Baudinette 1987; K_rtner & Geiser 2009,-24.29,22.019,28.2,
Sminthopsis murina,Sminthopsis murina,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,19,15,0.25,22,8,NA,Geiser et al. 1984,-27.47,17.016,57.43,
Sminthopsis ooldea,Sminthopsis ooldea,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,11.1,NA,0.77,48,NA,NA,Tomlinson et al. 2012,-24.7,21.094,18.37,
Sorex sinuosus,Sorex ornatus,INSECTIVORA,Plac,NA,MAMMALIA,DT,1,7.8,NA,1.3,28,1,NA,Newmann & Rudd 1978 ,31.46,12.76,35.99,
Spermophilus armatus,Spermophilus armatus,RODENTIA,Plac,NA,MAMMALIA,HIB,1,500,NA,NA,NA,576,302,Cranford 1986 (LITC),42.02,3.072,27.61,9.5
Spermophilus beecheyi,Spermophilus beecheyi,RODENTIA,Plac,NA,MAMMALIA,HIB,1,600,6.1,NA,NA,72,48,Strumwasser 1960; Pengelley & Kelly 1966,38.32,10.349,49.14,
Spermophilus beldingi,Spermophilus beldingi,RODENTIA,Plac,NA,MAMMALIA,HIB,1,400,NA,NA,NA,400,NA,French 1985,41.29,6.97,30.29,9
