HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common.name	Female.maturity..days.	Male.maturity..days.	Gestation.Incubation..days.	Weaning..days.	Litter.Clutch.size	Litters.Clutches.per.year	Inter.litter.Interbirth.interval	Birth.weight..g.	Weaning.weight..g.	Adult.weight..g.	Growth.rate..1.days.	Maximum.longevity..yrs.	Source	Specimen.origin	Sample.size	Data.quality	IMR..per.yr.	MRDT..yrs.	Metabolic.rate..W.	Body.mass..g.	Temperature..K.	References
3428	Animalia	Chordata	Mammalia	Rodentia	Muridae	Meriones	Meriones_persicus	Persian jird	NA	NA	26	19	4.3	NA	NA	5	NA	100	NA	6	671	captivity	small	acceptable	NA	NA	NA	NA	NA	455610671
3429	Animalia	Chordata	Mammalia	Rodentia	Muridae	Meriones	Meriones_shawi	Shaws jird	102	120	26	23	5.4	NA	31	4.46	25	185	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	455610671
3430	Animalia	Chordata	Mammalia	Rodentia	Muridae	Meriones	Meriones_tamariscinus	Tamarisk jird	NA	NA	NA	17	4.2	2	27	3.03	15.8	NA	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	455671978
3431	Animalia	Chordata	Mammalia	Rodentia	Muridae	Meriones	Meriones_unguiculatus	Mongolian jird	43	36	25	24	5	4	46	3	14.3	53.2	0.0324	6.3	671	captivity	medium	acceptable	NA	NA	0.546	64.8	311.35	3637237337437536e43
3432	Animalia	Chordata	Mammalia	Rodentia	Muridae	Meriones	Meriones_vinogradovi	Vinogradovs jird	NA	NA	22	NA	7	NA	NA	3	NA	150	NA	6.7	671	captivity	small	acceptable	NA	NA	NA	NA	NA	455610671
3433	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mesembriomys	Mesembriomys_gouldii	Black-footed tree rat	71	NA	44	47	2	4	NA	34.9	440.5	900	0.0327	7.8	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455610671680700
3434	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mesembriomys	Mesembriomys_macrurus	Golden-backed tree rat	NA	NA	48	50	2	NA	NA	NA	NA	268.5	NA	7.1	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434455610671
3435	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mesocricetus	Mesocricetus_auratus	Golden hamster	48	48	16	20	9	3	NA	2.45	22.93	105	0.0574	3.9	671	captivity	medium	acceptable	NA	NA	0.69	108.2	311.25	3618925725825927e43
3436	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mesocricetus	Mesocricetus_brandti	Brandts hamster	41	NA	15	19	8	3	NA	NA	NA	174	NA	4.4	475	unknown	medium	acceptable	NA	NA	NA	NA	NA	434455475476
3437	Animalia	Chordata	Mammalia	Rodentia	Muridae	Micromys	Micromys_minutus	Old World harvest mouse	40	37	20	18	5.2	NA	21	0.9	NA	6	NA	3.8	671	captivity	large	acceptable	NA	NA	0.201	7.6	311.15	364204344555426e8
3438	Animalia	Chordata	Mammalia	Rodentia	Muridae	Microtus	Microtus_agrestis	Field vole	36	42	21	13	4.4	NA	20	2.3	8.9	46	NA	4.8	671	captivity	small	acceptable	NA	NA	0.367	25	310.75	2364204214555426e8
3439	Animalia	Chordata	Mammalia	Rodentia	Muridae	Microtus	Microtus_arvalis	Common vole	38	56	21	20	5.1	NA	20	1.85	8.9	27.5	0.0561	4.8	671	captivity	small	acceptable	NA	NA	0.343	21.9	310.15	2363824204555426e8
3440	Animalia	Chordata	Mammalia	Rodentia	Muridae	Microtus	Microtus_duodecimcostatus	Mediterranean pine vole	NA	NA	NA	NA	2.53	NA	NA	2.21	NA	23	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	434455618730
